ts,psu_v,width_ms,hits,n,sv_pre_med,sv_mid_med,sv_end_med,sv_150_med,sma_mid_med,good_flap,note
2026-07-11T22:27:58,5.0,5,2,5,4.637,4.637,4.637,4.637,228,0,
2026-07-11T22:28:10,5.0,6,2,5,4.637,4.637,4.637,4.645,226,0,
2026-07-11T22:28:22,5.0,8,2,5,4.637,4.637,4.637,4.641,226,0,
2026-07-11T22:28:34,5.0,10,2,5,4.637,4.637,4.637,4.645,234,0,
2026-07-11T22:28:48,5.0,12,2,5,4.637,4.637,4.637,4.637,230,0,
2026-07-11T22:28:58,5.0,15,3,5,4.637,4.637,4.637,4.637,236,0,
2026-07-11T22:29:07,5.0,20,3,5,4.637,4.637,4.637,4.637,232,0,
2026-07-11T22:29:16,5.0,25,3,5,4.641,4.641,4.641,4.637,234,0,
2026-07-11T22:29:26,5.0,30,2,5,4.637,4.637,4.637,4.637,234,0,
2026-07-11T22:29:36,5.0,40,3,5,4.637,4.637,4.637,4.637,232,0,
2026-07-11T22:29:51,5.0,60,,20,,,,,,,burst20
2026-07-11T22:30:21,6.0,5,1,5,5.542,5.542,5.542,5.502,410,0,
2026-07-11T22:30:29,6.0,6,1,5,5.542,5.542,5.542,5.542,404,0,
2026-07-11T22:30:38,6.0,8,1,5,5.538,5.538,5.538,5.538,410,0,
2026-07-11T22:30:46,6.0,10,2,5,5.542,5.542,5.542,5.542,406,0,
2026-07-11T22:30:55,6.0,12,2,5,5.538,5.538,5.538,5.542,404,0,
2026-07-11T22:31:03,6.0,15,2,5,5.542,5.542,5.542,5.542,404,0,
2026-07-11T22:31:12,6.0,20,3,5,5.542,5.542,5.542,5.542,404,0,
2026-07-11T22:31:20,6.0,25,3,5,5.538,5.538,5.538,5.542,404,0,
2026-07-11T22:31:29,6.0,30,3,5,5.542,5.542,5.542,5.542,404,0,
2026-07-11T22:31:37,6.0,40,3,5,5.542,5.542,5.542,5.542,402,0,
2026-07-11T22:31:51,6.0,60,,20,,,,,,,burst20
2026-07-11T22:32:13,4,5,0,5,3.914,3.914,3.914,3.922,0,0,
2026-07-11T22:32:21,4,6,0,5,3.906,3.906,3.906,3.910,0,0,
2026-07-11T22:32:30,4,8,0,5,3.903,3.903,3.903,3.906,0,0,
2026-07-11T22:32:39,4,10,2,5,3.903,3.903,3.903,3.906,0,0,
2026-07-11T22:32:47,4,12,2,5,3.903,3.903,3.903,3.903,0,0,
2026-07-11T22:32:55,4,15,2,5,3.903,3.903,3.903,3.906,0,0,
2026-07-11T22:33:03,4,20,3,5,3.895,3.895,3.895,3.903,0,0,
2026-07-11T22:33:11,4,25,3,5,3.895,3.895,3.895,3.895,0,0,
2026-07-11T22:33:21,4,30,3,5,3.903,3.903,3.903,3.903,0,0,
2026-07-11T22:33:29,4,40,3,5,3.895,3.895,3.895,3.895,0,0,
2026-07-11T22:33:45,4,60,,20,,,,,,,burst20
2026-07-11T22:34:09,7,5,0,5,6.590,6.590,6.590,6.590,348,0,
2026-07-11T22:34:19,7,6,0,5,6.590,6.590,6.590,6.594,348,0,
2026-07-11T22:34:27,7,8,2,5,6.590,6.590,6.590,6.586,348,0,
2026-07-11T22:34:36,7,10,2,5,6.594,6.594,6.594,6.590,348,0,
2026-07-11T22:34:44,7,12,2,5,6.594,6.594,6.594,6.566,350,0,
2026-07-11T22:34:57,7,15,2,5,6.594,6.594,6.594,6.594,348,0,
2026-07-11T22:35:08,7,20,2,5,6.594,6.594,6.594,6.594,348,0,
2026-07-11T22:35:20,7,25,2,5,6.594,6.594,6.594,6.594,348,0,
2026-07-11T22:35:29,7,30,3,5,6.590,6.590,6.590,6.594,348,0,
2026-07-11T22:35:37,7,40,3,5,6.586,6.586,6.586,6.594,350,0,
2026-07-11T22:35:51,7,60,,20,,,,,,,burst20
2026-07-11T22:47:18,7,5,5,5,5072,4410,6527,6.570,6.570,346,0,
2026-07-11T22:47:24,7,6,5,5,2894,2421,4150,6.570,6.570,348,0,
2026-07-11T22:47:35,7,7,,20,,,,,,,,burst20
2026-07-11T22:47:52,6,5,5,5,2968,2684,3492,5.558,5.530,404,0,
2026-07-11T22:47:57,6,6,5,5,4842,3646,5211,5.562,5.522,402,0,
2026-07-11T22:48:08,6,7,,20,,,,,,,,burst20
2026-07-11T22:48:26,5,5,5,5,2876,2824,3137,4.637,4.637,284,0,
2026-07-11T22:48:32,5,6,5,5,2825,2402,4946,4.641,4.641,280,0,
2026-07-11T22:48:42,5,7,,20,,,,,,,,burst20
2026-07-11T22:49:04,4,5,5,5,1565,1349,1796,3.934,3.922,0,0,
2026-07-11T22:49:11,4,6,5,5,1554,1251,1863,3.906,3.906,0,0,
2026-07-11T22:49:21,4,7,,20,,,,,,,,burst20
2026-07-11T22:49:37,8,5,5,5,3910,2968,5391,7.595,7.595,298,0,
2026-07-11T22:49:44,8,6,5,5,3175,2843,3878,7.595,7.599,298,0,
2026-07-11T22:49:56,8,7,,20,,,,,,,,burst20
2026-07-11T22:50:24,5.5,5,5,5,3316,2601,3423,5.006,4.994,456,0,
2026-07-11T22:50:30,5.5,6,5,5,3888,3209,4983,5.006,4.998,450,0,
2026-07-11T22:50:41,5.5,7,,20,,,,,,,,burst20
